"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
15:00:00 02/06/2024,      16.824,    130, 
16:00:00 02/06/2024,      16.660,    130, 
17:00:00 02/06/2024,      16.497,    130, 
18:00:00 02/06/2024,      16.660,    130, 
19:00:00 02/06/2024,      16.551,    130, 
20:00:00 02/06/2024,      16.497,    130, 
21:00:00 02/06/2024,      16.551,    130, 
22:00:00 02/06/2024,      16.714,    130, 
23:00:00 02/06/2024,      16.714,    130, 
00:00:00 03/06/2024,      16.660,    130, 
01:00:00 03/06/2024,      16.605,    130, 
02:00:00 03/06/2024,      16.551,    130, 
03:00:00 03/06/2024,      16.605,    130, 
04:00:00 03/06/2024,      16.551,    130, 
05:00:00 03/06/2024,      16.497,    130, 
06:00:00 03/06/2024,      16.389,    130, 
07:00:00 03/06/2024,      16.443,    130, 
08:00:00 03/06/2024,      16.551,    130, 
09:00:00 03/06/2024,      16.551,    130, 
10:00:00 03/06/2024,      16.443,    130, 
11:00:00 03/06/2024,      16.714,    130, 
12:00:00 03/06/2024,      16.443,    130, 
13:00:00 03/06/2024,      16.497,    130, 
14:00:00 03/06/2024,      16.551,    130, 
15:00:00 03/06/2024,      16.551,    130, 
16:00:00 03/06/2024,      16.497,    130, 
17:00:00 03/06/2024,      16.605,    130, 
18:00:00 03/06/2024,      16.497,    130, 
19:00:00 03/06/2024,      16.389,    130, 
20:00:00 03/06/2024,      16.335,    130, 
21:00:00 03/06/2024,      16.660,    130, 
22:00:00 03/06/2024,      16.389,    130, 
23:00:00 03/06/2024,      16.714,    130, 
00:00:00 04/06/2024,      16.605,    130, 
01:00:00 04/06/2024,      16.660,    130, 
02:00:00 04/06/2024,      16.769,    130, 
03:00:00 04/06/2024,      16.660,    130, 
04:00:00 04/06/2024,      16.551,    130, 
05:00:00 04/06/2024,      16.551,    130, 
06:00:00 04/06/2024,      16.769,    130, 
07:00:00 04/06/2024,      16.714,    130, 
08:00:00 04/06/2024,      16.879,    130, 
09:00:00 04/06/2024,      16.769,    130, 
10:00:00 04/06/2024,      16.824,    130, 
11:00:00 04/06/2024,      16.989,    130, 
12:00:00 04/06/2024,      17.044,    130, 
13:00:00 04/06/2024,      16.989,    130, 
14:00:00 04/06/2024,      16.879,    130, 
15:00:00 04/06/2024,      17.156,    130, 
