Code,Date,FY,Indicator,Units,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat,Month,Values,N_Months,Val_Min,Val_Twentieth,Val_Mean,Val_Median,Val_Eightieth,Val_Max,Val_Stat,N_Samples
BUR2,2023-01-04,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Jan,3.6,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2023-01-04,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Jan,1.47,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2023-01-24,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Jan,0.3365,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2023-01-24,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Jan,3e-4,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2023-01-24,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Jan,0.0316,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2023-01-24,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Jan,0.0026,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2023-01-24,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Jan,11,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2023-01-24,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Jan,0.415,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2023-02-07,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Feb,0.2227,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2023-02-07,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Feb,6e-4,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2023-02-07,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Feb,0.024,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2023-02-07,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Feb,0.002,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2023-02-07,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Feb,4.1,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2023-02-07,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Feb,0.88,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2023-02-20,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Feb,0.3246,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2023-02-20,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Feb,7e-4,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2023-02-20,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Feb,0.0271,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2023-02-20,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Feb,0.0026,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2023-02-20,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Feb,5.5,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2023-02-20,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Feb,0.78,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2023-03-06,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Mar,0.2624,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2023-03-06,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Mar,0.0039,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2023-03-06,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Mar,0.03,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2023-03-06,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Mar,0.0018,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2023-03-06,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Mar,5.6,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2023-03-06,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Mar,1.915,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
