"","region","basin","sub_basin","year","total_basin_area","vegetation","area","percent_coverage","y_on_y_area_change","y_on_y_percentage_change"
"160","Dry Tropics","Ross","Alligator Creek","remnant_2005",360.60986,"Wetlands",6.16371,1.70925,-0.00756,-0.0021
"161","Dry Tropics","Ross","Alligator Creek","remnant_2006",360.60986,"Wetlands",6.16371,1.70925,0,0
"162","Dry Tropics","Ross","Alligator Creek","remnant_2006b",360.60986,"Wetlands",6.16371,1.70925,0,0
"163","Dry Tropics","Ross","Alligator Creek","remnant_2007",360.60986,"Wetlands",6.16371,1.70925,0,0
"164","Dry Tropics","Ross","Alligator Creek","remnant_2009",360.60986,"Wetlands",6.16371,1.70925,0,0
"165","Dry Tropics","Ross","Alligator Creek","remnant_2011",360.60986,"Wetlands",6.16371,1.70925,0,0
"166","Dry Tropics","Ross","Alligator Creek","remnant_2013",360.60986,"Wetlands",6.15456,1.70671,-0.00914,-0.00254
"167","Dry Tropics","Ross","Alligator Creek","remnant_2015",360.60986,"Wetlands",6.1151,1.69577,-0.03946,-0.01094
"168","Dry Tropics","Ross","Alligator Creek","remnant_2017",360.60986,"Wetlands",6.1151,1.69577,0,0
"169","Dry Tropics","Ross","Alligator Creek","remnant_2019",360.60986,"Wetlands",6.1151,1.69577,0,0
"170","Dry Tropics","Ross","Alligator Creek","remnant_2021",360.60986,"Wetlands",6.30354,1.74802,0.18844,0.05226
"171","Wet Tropics","Barron","Barron","pre_clear",2193.33569,"Callitris Woodland",7.97512,0.36361,0,0
"172","Wet Tropics","Barron","Barron","remnant_1997",2193.33568,"Callitris Woodland",7.93503,0.36178,-0.04009,-0.00183
"173","Wet Tropics","Barron","Barron","remnant_1999",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"174","Wet Tropics","Barron","Barron","remnant_2000",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"175","Wet Tropics","Barron","Barron","remnant_2001",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"176","Wet Tropics","Barron","Barron","remnant_2003",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"177","Wet Tropics","Barron","Barron","remnant_2005",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"178","Wet Tropics","Barron","Barron","remnant_2006",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"179","Wet Tropics","Barron","Barron","remnant_2006b",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"180","Wet Tropics","Barron","Barron","remnant_2007",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"181","Wet Tropics","Barron","Barron","remnant_2009",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"182","Wet Tropics","Barron","Barron","remnant_2011",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"183","Wet Tropics","Barron","Barron","remnant_2013",2193.33568,"Callitris Woodland",7.93503,0.36178,0,0
"184","Wet Tropics","Barron","Barron","remnant_2015",2193.33569,"Callitris Woodland",7.93503,0.36178,0,0
"185","Wet Tropics","Barron","Barron","remnant_2017",2193.33569,"Callitris Woodland",7.91281,0.36077,-0.02222,-0.00101
"186","Wet Tropics","Barron","Barron","remnant_2019",2193.33569,"Callitris Woodland",7.91281,0.36077,0,0
"187","Wet Tropics","Barron","Barron","remnant_2021",2193.33569,"Callitris Woodland",7.7198,0.35197,-0.193,-0.0088
"188","Wet Tropics","Barron","Barron","pre_clear",2193.33569,"Eucalypt Variations",1187.20429,54.1278,0,0
"189","Wet Tropics","Barron","Barron","remnant_1997",2193.33568,"Eucalypt Variations",798.31458,36.39728,-388.88972,-17.73052
"190","Wet Tropics","Barron","Barron","remnant_1999",2193.33568,"Eucalypt Variations",794.98499,36.24548,-3.32959,-0.1518
"191","Wet Tropics","Barron","Barron","remnant_2000",2193.33568,"Eucalypt Variations",791.31391,36.0781,-3.67108,-0.16737
"192","Wet Tropics","Barron","Barron","remnant_2001",2193.33568,"Eucalypt Variations",789.21937,35.98261,-2.09454,-0.0955
"193","Wet Tropics","Barron","Barron","remnant_2003",2193.33568,"Eucalypt Variations",786.51323,35.85923,-2.70614,-0.12338
"194","Wet Tropics","Barron","Barron","remnant_2005",2193.33568,"Eucalypt Variations",784.68253,35.77576,-1.8307,-0.08347
"195","Wet Tropics","Barron","Barron","remnant_2006",2193.33568,"Eucalypt Variations",783.67359,35.72976,-1.00894,-0.046
"196","Wet Tropics","Barron","Barron","remnant_2006b",2193.33568,"Eucalypt Variations",783.66902,35.72955,-0.00457,-0.00021
"197","Wet Tropics","Barron","Barron","remnant_2007",2193.33568,"Eucalypt Variations",783.06095,35.70183,-0.60806,-0.02772
"198","Wet Tropics","Barron","Barron","remnant_2009",2193.33568,"Eucalypt Variations",782.63006,35.68218,-0.43089,-0.01965
"199","Wet Tropics","Barron","Barron","remnant_2011",2193.33568,"Eucalypt Variations",781.73346,35.64131,-0.8966,-0.04088
"200","Wet Tropics","Barron","Barron","remnant_2013",2193.33568,"Eucalypt Variations",781.02456,35.60898,-0.70891,-0.03232
"201","Wet Tropics","Barron","Barron","remnant_2015",2193.33569,"Eucalypt Variations",778.71968,35.5039,-2.30488,-0.10509
"202","Wet Tropics","Barron","Barron","remnant_2017",2193.33569,"Eucalypt Variations",776.77761,35.41535,-1.94207,-0.08854
"203","Wet Tropics","Barron","Barron","remnant_2019",2193.33569,"Eucalypt Variations",775.6339,35.36321,-1.14371,-0.05214
"204","Wet Tropics","Barron","Barron","remnant_2021",2193.33569,"Eucalypt Variations",774.73893,35.32241,-0.89497,-0.0408
"205","Wet Tropics","Barron","Barron","pre_clear",2193.33569,"Mangroves and Saltmarshes",13.0172,0.59349,0,0
"206","Wet Tropics","Barron","Barron","remnant_1997",2193.33568,"Mangroves and Saltmarshes",9.44037,0.43041,-3.57683,-0.16308
"207","Wet Tropics","Barron","Barron","remnant_1999",2193.33568,"Mangroves and Saltmarshes",9.44037,0.43041,0,0
"208","Wet Tropics","Barron","Barron","remnant_2000",2193.33568,"Mangroves and Saltmarshes",9.44037,0.43041,0,0
"209","Wet Tropics","Barron","Barron","remnant_2001",2193.33568,"Mangroves and Saltmarshes",9.44037,0.43041,0,0
"210","Wet Tropics","Barron","Barron","remnant_2003",2193.33568,"Mangroves and Saltmarshes",9.44037,0.43041,0,0
