"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Dry Tropics","Ross","Alligator Creek","remnant_2017",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2019",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Saltmarshes",6008.7,57.05824,10.5,0.18,81
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Water",538.8,5.11623,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Water",532,5.05192,-6.8,-1.26,34
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2015",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2017",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2019",105.30812,"Water",532,5.05192,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Water",531.9,5.05048,-0.2,-0.03,75
"Wet Tropics","Barron","Barron","pre_clear",20.46932,"Mangroves",1050,51.29789,0,0,80
"Wet Tropics","Barron","Barron","remnant_1997",20.46932,"Mangroves",930.8,45.47107,-119.3,-11.36,19
"Wet Tropics","Barron","Barron","remnant_1999",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2000",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2001",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2003",20.46932,"Mangroves",930.8,45.47108,0,0,81
"Wet Tropics","Barron","Barron","remnant_2005",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2006b",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2007",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2009",20.46932,"Mangroves",930.8,45.47107,0,0,80
"Wet Tropics","Barron","Barron","remnant_2011",20.46932,"Mangroves",930.6,45.46351,-0.2,-0.02,77
"Wet Tropics","Barron","Barron","remnant_2013",20.46932,"Mangroves",930.6,45.46351,0,0,80
"Wet Tropics","Barron","Barron","remnant_2015",20.46932,"Mangroves",930.6,45.46351,0,0,80
"Wet Tropics","Barron","Barron","remnant_2017",20.46932,"Mangroves",930.6,45.46351,0,0,80
