Region,BasinOrZone,SubBasinOrSubZone,FinalScore,BarrierClassification,geom
Dry Tropics,Ross,Alligator Creek,68.16066849372073,4.3,"c(495895.19989023, 7850464.90470813)"
Dry Tropics,Ross,Alligator Creek,144.49603964641116,3,"c(498537.382984997, 7855911.37422344)"
Dry Tropics,Ross,Alligator Creek,200,2,"c(499374.809542491, 7855695.88400843)"
Dry Tropics,Ross,Alligator Creek,200,2,"c(499739.660623764, 7855530.42916278)"
Dry Tropics,Ross,Alligator Creek,200,3,"c(497466.983621055, 7854036.86434227)"
Dry Tropics,Ross,Alligator Creek,49.75173192783628,3,"c(492877.529651476, 7851259.44047563)"
Dry Tropics,Ross,Alligator Creek,200,3,"c(497586.011272051, 7854181.7191568)"
Dry Tropics,Ross,Alligator Creek,27.075195447209364,3,"c(498129.473780982, 7848782.81986872)"
Dry Tropics,Ross,Alligator Creek,143.2042505823378,4.3,"c(498709.918936331, 7848165.48689079)"
Dry Tropics,Ross,Alligator Creek,45.310564161105795,2,"c(498623.156325717, 7855939.03978168)"
Dry Tropics,Ross,Alligator Creek,200,3,"c(498528.695632689, 7854895.18803325)"
Dry Tropics,Ross,Alligator Creek,42.59634530967662,4.3,"c(490117.234722804, 7857963.60358022)"
Dry Tropics,Ross,Alligator Creek,56.332281953563495,3,"c(494190.58251087, 7851389.93806657)"
Dry Tropics,Ross,Alligator Creek,141.78524521819008,3,"c(491807.416109046, 7850823.79024758)"
Dry Tropics,Ross,Alligator Creek,111.78809227273915,3,"c(492283.879728076, 7851221.38479858)"
Dry Tropics,Black,Black River,113.1664642258034,1,"c(443576.805487234, 7861480.84521612)"
Dry Tropics,Black,Black River,111.2294447233012,3,"c(444044.444518825, 7865818.3282621)"
Dry Tropics,Black,Black River,111.96019656925198,3,"c(445162.549674002, 7865645.79137981)"
Dry Tropics,Black,Black River,111.24148236386924,4.3,"c(443986.884018758, 7865630.43834532)"
Dry Tropics,Black,Black River,112.90486372135915,3,"c(444712.725308937, 7863013.20755438)"
Dry Tropics,Black,Black River,124.2172081892114,3,"c(446778.291580279, 7864580.17544506)"
Dry Tropics,Black,Black River,119.82594385696746,3,"c(448904.99269137, 7865149.43791578)"
Dry Tropics,Black,Black River,118.43368026269778,3,"c(450668.321295307, 7866403.00350773)"
Dry Tropics,Black,Black River,119.35243723030055,3,"c(448421.688961706, 7865029.10045864)"
Dry Tropics,Black,Black River,114.95831985859357,3,"c(450508.094831451, 7866272.5616451)"
Dry Tropics,Black,Black River,110,2,"c(462204.41721134, 7873938.33599303)"
Dry Tropics,Black,Black River,185.3138504091801,4.3,"c(459906.130985165, 7870787.97060154)"
Dry Tropics,Black,Black River,106.53236590126896,3,"c(462157.99182444, 7874396.09669887)"
Dry Tropics,Black,Black River,206.21825637671424,3,"c(464785.271130487, 7875630.093451)"
Dry Tropics,Black,Black River,29.2512797230276,4,"c(447524.809842395, 7864360.75826995)"
Dry Tropics,Black,Black River,177.61173469216868,4.3,"c(456660.1067976, 7864223.3597592)"
Dry Tropics,Black,Black River,196,4.3,"c(457567.77313196, 7864184.45995412)"
Dry Tropics,Black,Black River,119.61252161295432,2,"c(449005.501511653, 7860061.80053088)"
Dry Tropics,Black,Black River,141.94207529793977,4,"c(449877.952423549, 7859968.23913701)"
Dry Tropics,Black,Black River,120.11100621212306,2,"c(449577.997571578, 7860000.41104005)"
Dry Tropics,Black,Black River,25.698270201811393,4,"c(447661.246677396, 7864267.44832967)"
Dry Tropics,Black,Black River,38.068078298984965,4,"c(449292.274524204, 7864086.97160083)"
Dry Tropics,Black,Black River,117.85589816421665,4,"c(448465.974826049, 7864178.42211479)"
Dry Tropics,Black,Black River,46.56942520266093,4,"c(450499.319150898, 7863952.55918645)"
Dry Tropics,Black,Black River,23.68675738475825,4.2,"c(446517.19068885, 7861018.52035962)"
Dry Tropics,Black,Black River,49.484313274085714,4.2,"c(446167.990225937, 7861009.84089963)"
Dry Tropics,Black,Black River,25.049843200980668,3,"c(457420.625843842, 7869262.24578491)"
Dry Tropics,Black,Black River,27.65574535844096,3,"c(457801.425824474, 7869578.25050544)"
Dry Tropics,Black,Black River,164.64501440678134,4.3,"c(455481.480154336, 7864113.55302574)"
Dry Tropics,Black,Black River,177.66842477649675,4,"c(460198.931602873, 7868478.64782792)"
