Code,Date,FY,Indicator,Units,Values,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat
BUR1,2014-06-30,2014,TSS,mg.L,0.4275,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2014-09-21,2015,Chla,ug.L,0.2688,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2014-09-21,2015,FRP,mg.L,0.002375399,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2014-09-21,2015,NOX,mg.L,0.0023319645,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2014-09-21,2015,PN,mg.L,0.014487040500000001,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2014-09-21,2015,PP,mg.L,0.0017559989999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2014-09-21,2015,TSS,mg.L,0.395,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-02-22,2015,Chla,ug.L,0.37155,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-02-22,2015,FRP,mg.L,0.0021075085,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2015-02-22,2015,NOX,mg.L,0.0028349234999999998,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-02-22,2015,PN,mg.L,0.012569772,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2015-02-22,2015,PP,mg.L,0.0022933284999999996,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2015-02-22,2015,TSS,mg.L,1.01125,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-03-23,2015,Chla,ug.L,0.4983,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-03-23,2015,FRP,mg.L,0.0016104399999999999,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
BUR1,2015-03-23,2015,NOX,mg.L,8.29392e-4,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,2.802e-4,high,median
BUR1,2015-03-23,2015,PN,mg.L,0.024649194000000003,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.02,7.005e-5,high,mean
BUR1,2015-03-23,2015,PP,mg.L,0.002059505,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.0028,3.097e-4,high,mean
BUR1,2015-03-23,2015,Secchi,m,9,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,10,0.01,low,mean
BUR1,2015-03-23,2015,TSS,mg.L,0.6175,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,2,0.1,high,mean
BUR1,2015-05-31,2015,Chla,ug.L,0.3896,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.45,0.1,high,mean
BUR1,2015-05-31,2015,FRP,mg.L,0.0020347289999999994,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5405833,146.48855,N,0.002,6.194e-4,high,mean
