Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,FRP,High_DO,Low_DO,TP,Turbidity,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,Turbidity_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Black,Rollingstone Creek,Leichhardt Creek,145,0.21,90,90,90,62,90,68,90,62,65,77,19.3,19.3,19.3,13.4,19.3,14.7,19.3,14,16.7,A,B,A,B,A,B,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,145,0.21,90,90,90,90,90,57,90,90,73,81,19.3,19.3,19.3,19.3,19.3,12.4,19.3,15.9,17.6,A,A,A,C,A,A,B,A,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,145,0.21,61,90,90,51,90,90,75,51,70,73,13.1,19.3,19.3,11,19.3,19.3,16.2,15.2,15.7,A,C,A,A,B,C,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Ollera Creek,116,0.17,90,90,90,0,90,90,90,0,45,67,15.5,15.5,15.5,0,15.5,15.5,15.5,7.7,11.6,A,E,A,A,A,E,C,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,116,0.17,90,90,90,90,90,90,90,90,90,90,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,Paluma Lake,2,0,10,NA,90,52,40,90,25,52,71,48,0,NA,0.3,0.2,0.1,0.3,0.1,0.2,0.1,A,C,D,A,D,C,B,C,E,NA,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,458,0.32,56,NA,90,90,59,90,58,NA,90,74,18.1,NA,28.8,28.8,19.1,28.8,18.6,28.8,23.7,A,A,C,A,C,NA,A,B,E,NA,D,D,E,D,E,D,D
DT,Ross,Lower Ross River,NA,786,0.56,61,90,90,53,90,90,66,NA,71,68,34.6,50.4,50.4,29.7,50.4,50.4,37.1,40,38.6,A,C,A,A,B,NA,B,B,D,C,C,D,C,C,D,D,D
DT,Ross,Bohle River,NA,169,0.12,0,NA,90,25,0,63,0,NA,44,22,0,NA,10.8,3,0,7.6,0,5.3,2.6,A,D,E,B,E,NA,C,D,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,NA,250,0.37,63,90,64,90,39,72,51,NA,68,60,23.6,33.3,24,33.3,14.6,26.7,19.1,25.4,22.2,B,A,D,B,C,NA,B,C,D,D,D,D,E,D,E,D,D
DT,Black,Bluewater Creek,NA,162,0.24,84,90,77,75,61,28,73,NA,45,59,20.3,21.6,18.5,18,14.9,6.7,17.6,10.8,14.2,B,B,B,D,B,NA,C,C,E,D,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,NA,145,0.21,80,90,90,67,90,72,85,NA,69,77,17.3,19.3,19.3,14.6,19.3,15.5,18.3,15,16.7,A,B,A,B,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,NA,116,0.17,90,90,90,45,90,90,90,NA,67,78,15.5,15.5,15.5,7.7,15.5,15.5,15.5,11.6,13.5,A,C,A,A,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,NA,2,0,10,NA,90,52,40,90,25,NA,71,48,0,NA,0.3,0.2,0.1,0.3,0.1,0.2,0.1,A,C,D,A,D,NA,B,C,E,NA,E,E,E,E,E,E,E
DT,Ross,NA,NA,1413,NA,40,90,90,49,37,81,42,NA,65,54,52.7,50.4,90,61.5,69.5,86.8,55.7,74.1,64.9,A,C,D,A,C,NA,B,C,C,C,A,B,B,A,C,B,B
DT,Black,NA,NA,675,NA,74,90,83,66,71,64,73,NA,62,67,76.6,89.7,77.6,73.8,64.4,64.6,70.5,63,66.8,A,B,B,B,B,NA,B,B,B,A,B,B,B,B,B,B,B
