Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Mackay Whitsunday Isaac,Don,NA,Water,2021,3752.8,296.1,7.9,-8,-2.6,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,NA,Water,1999,2445.9,186.1,7.6,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Water,2009,2445.9,187.3,7.7,1.3,0.7,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,NA,Water,2016,2445.9,187.7,7.7,0.4,0.2,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,NA,Water,2021,2446,186.9,7.6,-0.8,-0.4,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,NA,Water,1999,1571.1,55.1,3.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Water,2009,1571.1,55,3.5,-0.1,-0.2,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,NA,Water,2016,1571.1,55.1,3.5,0.1,0.2,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,NA,Water,2021,1574.7,55.2,3.5,0.1,0.1,2021 to 2016
Mackay Whitsunday Isaac,Plane,NA,Water,1999,2559.5,227.4,8.9,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,NA,Water,2009,2559.5,223.6,8.7,-3.8,-1.7,2009 to 1999
Mackay Whitsunday Isaac,Plane,NA,Water,2016,2559.5,222.5,8.7,-1.2,-0.5,2016 to 2009
Mackay Whitsunday Isaac,Plane,NA,Water,2021,2569.8,258.3,10.1,35.9,16.1,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,NA,Water,1999,2772.1,180.6,6.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Water,2009,2772.1,181.8,6.6,1.2,0.7,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,NA,Water,2016,2772.1,182.7,6.6,0.9,0.5,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,NA,Water,2021,2771.6,177.6,6.4,-5.2,-2.8,2021 to 2016
Wet Tropics,Barron,NA,Water,1999,2381.9,77.2,3.2,0,0,1999 to 1999
Wet Tropics,Barron,NA,Water,2009,2368.8,77.7,3.3,0.5,0.7,2009 to 1999
Wet Tropics,Barron,NA,Water,2015,2385.5,78,3.3,0.3,0.4,2015 to 2009
Wet Tropics,Barron,NA,Water,2021,2193.2,79.1,3.6,1,1.3,2021 to 2015
Wet Tropics,Daintree,NA,Water,1999,2123.2,59,2.8,0,0,1999 to 1999
Wet Tropics,Daintree,NA,Water,2009,2120.5,56.1,2.6,-2.9,-4.9,2009 to 1999
Wet Tropics,Daintree,NA,Water,2015,2115.6,53.5,2.5,-2.6,-4.7,2015 to 2009
Wet Tropics,Daintree,NA,Water,2021,2104.6,53.5,2.5,0,0,2021 to 2015
Wet Tropics,Herbert,NA,Water,1999,10003.4,431.9,4.3,0,0,1999 to 1999
Wet Tropics,Herbert,NA,Water,2009,9996.8,428.5,4.3,-3.4,-0.8,2009 to 1999
Wet Tropics,Herbert,NA,Water,2015,9952.5,414.4,4.2,-14.1,-3.3,2015 to 2009
Wet Tropics,Herbert,NA,Water,2021,9873.2,423.6,4.3,9.2,2.2,2021 to 2015
Wet Tropics,Johnstone,NA,Water,1999,2460.7,51.7,2.1,0,0,1999 to 1999
Wet Tropics,Johnstone,NA,Water,2009,2457.4,51.6,2.1,-0,-0.1,2009 to 1999
Wet Tropics,Johnstone,NA,Water,2015,2456.4,51.6,2.1,0,0,2015 to 2009
Wet Tropics,Johnstone,NA,Water,2021,2317.8,56.4,2.4,4.7,9.2,2021 to 2015
Wet Tropics,Mossman,NA,Water,1999,513.5,20.6,4,0,0,1999 to 1999
Wet Tropics,Mossman,NA,Water,2009,498,20.7,4.2,0.1,0.6,2009 to 1999
Wet Tropics,Mossman,NA,Water,2015,496,20.7,4.2,0,0.1,2015 to 2009
