Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Mackay Whitsunday Isaac,Proserpine,Proserpine,Forestry,2009,2772.1,210.7,7.6,-41.2,-16.4,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Forestry,2016,2772.1,134.7,4.9,-76,-36.1,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Forestry,2021,2771.6,134.7,4.9,0,0,2021 to 2016
Wet Tropics,Barron,Barron,Forestry,1999,2381.9,771.1,32.4,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Forestry,2009,2368.8,360.7,15.2,-410.4,-53.2,2009 to 1999
Wet Tropics,Barron,Barron,Forestry,2015,2385.5,204.6,8.6,-156.2,-43.3,2015 to 2009
Wet Tropics,Barron,Barron,Forestry,2021,2193.2,204.5,9.3,-0,-0,2021 to 2015
Wet Tropics,Daintree,Daintree,Forestry,1999,2123.2,1000.4,47.1,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Forestry,2009,2120.5,903.4,42.6,-96.9,-9.7,2009 to 1999
Wet Tropics,Herbert,Herbert,Forestry,1999,10003.4,513.6,5.1,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Forestry,2009,9996.8,346.7,3.5,-166.9,-32.5,2009 to 1999
Wet Tropics,Herbert,Herbert,Forestry,2015,9952.5,343.2,3.4,-3.5,-1,2015 to 2009
Wet Tropics,Herbert,Herbert,Forestry,2021,9873.2,371.2,3.8,28,8.2,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Forestry,1999,2460.7,637.5,25.9,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Forestry,2009,2457.4,22.4,0.9,-615.1,-96.5,2009 to 1999
Wet Tropics,Mossman,Mossman,Forestry,1999,513.5,158.6,30.9,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Forestry,2009,498,0.1,0,-158.6,-100,2009 to 1999
Wet Tropics,Mossman,Mossman,Forestry,2015,496,0,0,-0,-32.5,2015 to 2009
Wet Tropics,Mossman,Mossman,Forestry,2021,465.4,0,0,0,0,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Forestry,1999,1333.4,251.8,18.9,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Forestry,2009,1333.7,1.2,0.1,-250.6,-99.5,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Forestry,2015,1333.4,1.2,0.1,0,0,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Forestry,2021,1319.7,1.2,0.1,0,0,2021 to 2015
Wet Tropics,Murray,Murray,Forestry,1999,1539.4,266.1,17.3,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Forestry,2009,1537.4,40.7,2.6,-225.5,-84.7,2009 to 1999
Wet Tropics,Murray,Murray,Forestry,2015,1538,40.7,2.6,0,0.1,2015 to 2009
Wet Tropics,Murray,Murray,Forestry,2021,1524.4,40.7,2.7,0,0,2021 to 2015
Wet Tropics,Russell,Russell,Forestry,1999,718.7,23.2,3.2,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Forestry,1999,1718.8,766.4,44.6,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Forestry,2021,1684.7,28.7,1.7,-737.8,-96.3,2021 to 1999
Burdekin,Burdekin,Belyando,Grazing,1999,36777.9,34978.4,95.1,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Grazing,2009,37000.2,35014.2,94.6,35.8,0.1,2009 to 1999
Burdekin,Burdekin,Belyando,Grazing,2016,36069.3,34068.7,94.5,-945.5,-2.7,2016 to 2009
Burdekin,Burdekin,Belyando,Grazing,2021,35439,33369.8,94.2,-698.8,-2.1,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Grazing,1999,12006.2,10703.2,89.1,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Grazing,2009,12202.7,10764.4,88.2,61.2,0.6,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Grazing,2016,12233.3,10773.4,88.1,9,0.1,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Grazing,2021,11728.8,10294.9,87.8,-478.5,-4.4,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Grazing,1999,20636,19491.5,94.5,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Grazing,2009,20639.9,19492.3,94.4,0.8,0,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Grazing,2016,20594,19445,94.4,-47.3,-0.2,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Grazing,2021,20457.9,19400.7,94.8,-44.3,-0.2,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Grazing,1999,3797.4,3327.3,87.6,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Grazing,2009,3804.7,3331,87.5,3.7,0.1,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Grazing,2016,3805.7,3329.5,87.5,-1.5,-0,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Grazing,2021,3760.1,3145.6,83.7,-183.9,-5.5,2021 to 2016
Burdekin,Burdekin,Suttor,Grazing,1999,19599.8,17668.3,90.1,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Grazing,2009,19664.5,17628.3,89.6,-40,-0.2,2009 to 1999
Burdekin,Burdekin,Suttor,Grazing,2016,19570.9,17462.6,89.2,-165.7,-0.9,2016 to 2009
Burdekin,Burdekin,Suttor,Grazing,2021,18220.2,16059.1,88.1,-1403.5,-8,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Grazing,1999,40700.5,36244.2,89.1,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Grazing,2009,40700.4,35395.2,87,-849.1,-2.3,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Grazing,2016,40960.1,34936.2,85.3,-459,-1.3,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Grazing,2021,40508.9,31474.1,77.7,-3462,-9.9,2021 to 2016
Burdekin,Haughton,Haughton,Grazing,1999,4159.6,2366.6,56.9,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Grazing,2009,4159.8,2328.8,56,-37.9,-1.6,2009 to 1999
Burdekin,Haughton,Haughton,Grazing,2016,4157.3,2307,55.5,-21.7,-0.9,2016 to 2009
Burdekin,Haughton,Haughton,Grazing,2021,4068.8,2302.2,56.6,-4.9,-0.2,2021 to 2016
Dry Tropics,Black,Black River,Grazing,1999,305.5,216.8,71,0,0,1999 to 1999
Dry Tropics,Black,Black River,Grazing,2009,305,214.6,70.4,-2.2,-1,2009 to 1999
Dry Tropics,Black,Black River,Grazing,2016,305.1,211.3,69.3,-3.3,-1.5,2016 to 2009
Dry Tropics,Black,Black River,Grazing,2021,301.7,194.7,64.6,-16.5,-7.8,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Grazing,1999,296.6,222.2,74.9,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Grazing,2009,296.4,205.4,69.3,-16.7,-7.5,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Grazing,2016,296.9,172.8,58.2,-32.6,-15.9,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Grazing,2021,291.7,168.5,57.8,-4.3,-2.5,2021 to 2016
Dry Tropics,Black,Crystal Creek,Grazing,1999,239.9,29.3,12.2,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Grazing,2009,239.9,28.6,11.9,-0.6,-2.1,2009 to 1999
Dry Tropics,Black,Crystal Creek,Grazing,2016,239.7,28.5,11.9,-0.1,-0.5,2016 to 2009
Dry Tropics,Black,Crystal Creek,Grazing,2021,239.1,53.5,22.4,25,87.8,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Grazing,1999,224.2,31.3,14,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Grazing,2009,224.2,31.3,14,0,0.1,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Grazing,2016,224.3,31.3,13.9,-0.1,-0.2,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Grazing,2021,222,40.1,18.1,8.9,28.4,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Grazing,1999,368.4,80.8,21.9,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Grazing,2009,369.3,80.2,21.7,-0.5,-0.6,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Grazing,2016,369.6,78.4,21.2,-1.9,-2.3,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Grazing,2021,360.4,69.4,19.3,-9,-11.4,2021 to 2016
Dry Tropics,Ross,Bohle River,Grazing,1999,332.3,200.2,60.3,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Grazing,2009,333,172.7,51.9,-27.5,-13.7,2009 to 1999
Dry Tropics,Ross,Bohle River,Grazing,2016,331.3,151.9,45.8,-20.9,-12.1,2016 to 2009
Dry Tropics,Ross,Bohle River,Grazing,2021,328.8,148.7,45.2,-3.1,-2.1,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Grazing,1999,134.4,0.7,0.5,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Lower),Grazing,2009,134,0.2,0.2,-0.5,-66,2009 to 1999
Dry Tropics,Ross,Ross River (Lower),Grazing,2016,134,0,0,-0.2,-92.6,2016 to 2009
Dry Tropics,Ross,Ross River (Lower),Grazing,2021,134,0,0,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Grazing,1999,765.7,545.8,71.3,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Grazing,2009,768,545.9,71.1,0.1,0,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Grazing,2016,768.7,545.8,71,-0.1,-0,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Grazing,2021,761.3,509.4,66.9,-36.4,-6.7,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Grazing,1999,124.9,71.9,57.6,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Grazing,2009,125,71.3,57,-0.7,-0.9,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Grazing,2016,122.7,70,57,-1.3,-1.8,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Grazing,2021,120.9,67.5,55.8,-2.5,-3.5,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Grazing,1999,3922.2,3167,80.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Grazing,2009,3874.2,3093.1,79.8,-73.9,-2.3,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Grazing,2016,3867.1,3079.8,79.6,-13.3,-0.4,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Grazing,2021,3752.8,2978.9,79.4,-100.9,-3.3,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Grazing,1999,2445.9,948.5,38.8,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Grazing,2009,2445.9,949.6,38.8,1.1,0.1,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Grazing,2016,2445.9,975.7,39.9,26.1,2.7,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Grazing,2021,2446,1173.9,48,198.2,20.3,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Grazing,1999,1571.1,338.4,21.5,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Grazing,2009,1571.1,356.4,22.7,18.1,5.3,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Grazing,2016,1571.1,366.6,23.3,10.1,2.8,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Grazing,2021,1574.7,496.8,31.6,130.3,35.5,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Grazing,1999,2559.5,515.1,20.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Grazing,2009,2559.5,550.7,21.5,35.6,6.9,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Grazing,2016,2559.5,560.6,21.9,9.9,1.8,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Grazing,2021,2569.8,965,37.6,404.4,72.1,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Grazing,1999,2772.1,1134.1,40.9,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Grazing,2009,2772.1,1073.7,38.7,-60.4,-5.3,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Grazing,2016,2772.1,1114.3,40.2,40.6,3.8,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Grazing,2021,2771.6,1232.7,44.5,118.4,10.6,2021 to 2016
Wet Tropics,Barron,Barron,Grazing,1999,2381.9,856.3,35.9,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Grazing,2009,2368.8,844.6,35.7,-11.7,-1.4,2009 to 1999
Wet Tropics,Barron,Barron,Grazing,2015,2385.5,874.3,36.6,29.7,3.5,2015 to 2009
Wet Tropics,Barron,Barron,Grazing,2021,2193.2,659.1,30.1,-215.2,-24.6,2021 to 2015
Wet Tropics,Daintree,Daintree,Grazing,1999,2123.2,152.4,7.2,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Grazing,2009,2120.5,153.3,7.2,0.9,0.6,2009 to 1999
Wet Tropics,Daintree,Daintree,Grazing,2015,2115.6,170,8,16.7,10.9,2015 to 2009
Wet Tropics,Daintree,Daintree,Grazing,2021,2104.6,168.4,8,-1.6,-0.9,2021 to 2015
Wet Tropics,Herbert,Herbert,Grazing,1999,10003.4,5494.8,54.9,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Grazing,2009,9996.8,5355.5,53.6,-139.3,-2.5,2009 to 1999
Wet Tropics,Herbert,Herbert,Grazing,2015,9952.5,5343.4,53.7,-12.1,-0.2,2015 to 2009
Wet Tropics,Herbert,Herbert,Grazing,2021,9873.2,5040.6,51.1,-302.8,-5.7,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Grazing,1999,2460.7,560.4,22.8,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Grazing,2009,2457.4,603.1,24.5,42.6,7.6,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Grazing,2015,2456.4,628,25.6,24.9,4.1,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Grazing,2021,2317.8,502.3,21.7,-125.7,-20,2021 to 2015
Wet Tropics,Mossman,Mossman,Grazing,1999,513.5,13.7,2.7,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Grazing,2009,498,16.7,3.3,2.9,21.4,2009 to 1999
Wet Tropics,Mossman,Mossman,Grazing,2015,496,16.6,3.4,-0,-0.2,2015 to 2009
Wet Tropics,Mossman,Mossman,Grazing,2021,465.4,26.1,5.6,9.5,56.8,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Grazing,1999,1333.4,41.8,3.1,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Grazing,2009,1333.7,38.8,2.9,-3,-7.2,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Grazing,2015,1333.4,41,3.1,2.2,5.7,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Grazing,2021,1319.7,43.4,3.3,2.4,5.8,2021 to 2015
Wet Tropics,Murray,Murray,Grazing,1999,1539.4,80,5.2,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Grazing,2009,1537.4,75.3,4.9,-4.6,-5.8,2009 to 1999
Wet Tropics,Murray,Murray,Grazing,2015,1538,82.9,5.4,7.6,10,2015 to 2009
Wet Tropics,Murray,Murray,Grazing,2021,1524.4,71.6,4.7,-11.3,-13.6,2021 to 2015
Wet Tropics,Russell,Russell,Grazing,1999,718.7,46.3,6.4,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Grazing,2009,695.9,52.7,7.6,6.4,13.7,2009 to 1999
Wet Tropics,Russell,Russell,Grazing,2015,696.3,57.7,8.3,5.1,9.7,2015 to 2009
Wet Tropics,Russell,Russell,Grazing,2021,670.6,58.7,8.8,0.9,1.6,2021 to 2015
Wet Tropics,Tully,Tully,Grazing,1999,1718.8,110.1,6.4,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Grazing,2009,1712.6,89.2,5.2,-20.9,-19,2009 to 1999
Wet Tropics,Tully,Tully,Grazing,2015,1713.5,105.8,6.2,16.6,18.6,2015 to 2009
Wet Tropics,Tully,Tully,Grazing,2021,1684.7,108.7,6.5,2.8,2.7,2021 to 2015
Burdekin,Burdekin,Belyando,Irrigated Agriculture,1999,36777.9,2.8,0,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Irrigated Agriculture,2009,37000.2,2.8,0,0,0,2009 to 1999
Burdekin,Burdekin,Belyando,Irrigated Agriculture,2021,35439,20.2,0.1,17.4,615.2,2021 to 2009
Burdekin,Burdekin,Broke Bogie,Irrigated Agriculture,1999,12006.2,4.1,0,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Irrigated Agriculture,2009,12202.7,0.4,0,-3.7,-90,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Irrigated Agriculture,2016,12233.3,0.4,0,0,7.1,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Irrigated Agriculture,2021,11728.8,0.9,0,0.5,112.5,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Irrigated Agriculture,1999,20636,2.4,0,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Irrigated Agriculture,2009,20639.9,1.9,0,-0.5,-20.6,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Irrigated Agriculture,2016,20594,1.3,0,-0.6,-32.3,2016 to 2009
Burdekin,Burdekin,Cape Campaspe,Irrigated Agriculture,2021,20457.9,5.1,0,3.8,299.2,2021 to 2016
Burdekin,Burdekin,Lower Burdekin,Irrigated Agriculture,1999,3797.4,234.3,6.2,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Irrigated Agriculture,2009,3804.7,226.4,5.9,-7.9,-3.4,2009 to 1999
Burdekin,Burdekin,Lower Burdekin,Irrigated Agriculture,2016,3805.7,218.8,5.7,-7.6,-3.4,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Irrigated Agriculture,2021,3760.1,240,6.4,21.2,9.7,2021 to 2016
Burdekin,Burdekin,Suttor,Irrigated Agriculture,2021,18220.2,34.5,0.2,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Irrigated Agriculture,1999,40700.5,6.7,0,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Irrigated Agriculture,2009,40700.4,3.5,0,-3.2,-47.9,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Irrigated Agriculture,2016,40960.1,0.6,0,-2.9,-82.9,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Irrigated Agriculture,2021,40508.9,17.7,0,17.1,2872.5,2021 to 2016
Burdekin,Haughton,Haughton,Irrigated Agriculture,1999,4159.6,765.7,18.4,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Irrigated Agriculture,2009,4159.8,755.3,18.2,-10.4,-1.4,2009 to 1999
Burdekin,Haughton,Haughton,Irrigated Agriculture,2016,4157.3,762.4,18.3,7.1,0.9,2016 to 2009
Burdekin,Haughton,Haughton,Irrigated Agriculture,2021,4068.8,801,19.7,38.6,5.1,2021 to 2016
Dry Tropics,Black,Black River,Irrigated Agriculture,1999,305.5,0.4,0.1,0,0,1999 to 1999
Dry Tropics,Black,Black River,Irrigated Agriculture,2009,305,0.1,0,-0.3,-71.2,2009 to 1999
Dry Tropics,Black,Black River,Irrigated Agriculture,2016,305.1,0.1,0,-0,-15.9,2016 to 2009
Dry Tropics,Black,Black River,Irrigated Agriculture,2021,301.7,2.1,0.7,2,1856.4,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Irrigated Agriculture,1999,296.6,0.2,0.1,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Irrigated Agriculture,2009,296.4,0.3,0.1,0.1,79.6,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Irrigated Agriculture,2016,296.9,0.3,0.1,0,12.8,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Irrigated Agriculture,2021,291.7,1.2,0.4,0.9,284.9,2021 to 2016
Dry Tropics,Black,Crystal Creek,Irrigated Agriculture,1999,239.9,11.5,4.8,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Irrigated Agriculture,2009,239.9,11.7,4.9,0.2,2,2009 to 1999
Dry Tropics,Black,Crystal Creek,Irrigated Agriculture,2016,239.7,11.6,4.8,-0.1,-1,2016 to 2009
Dry Tropics,Black,Crystal Creek,Irrigated Agriculture,2021,239.1,13.8,5.8,2.2,19.3,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Irrigated Agriculture,1999,224.2,0.7,0.3,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Irrigated Agriculture,2009,224.2,0.7,0.3,-0,-3.7,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Irrigated Agriculture,2016,224.3,0.8,0.3,0.1,8,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Irrigated Agriculture,2021,222,3.2,1.4,2.4,314.3,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Irrigated Agriculture,2009,369.3,0.1,0,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Irrigated Agriculture,2021,360.4,2.1,0.6,2,1912.1,2021 to 2009
Dry Tropics,Ross,Bohle River,Irrigated Agriculture,2016,331.3,0.1,0,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Irrigated Agriculture,2021,328.8,4.5,1.4,4.5,8615.1,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Irrigated Agriculture,2021,134,0,0,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Irrigated Agriculture,1999,765.7,0.2,0,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Irrigated Agriculture,2016,768.7,0.3,0,0.1,29.6,2016 to 1999
Dry Tropics,Ross,Ross River (Upper),Irrigated Agriculture,2021,761.3,3,0.4,2.7,993.1,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Irrigated Agriculture,1999,124.9,2.2,1.8,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Irrigated Agriculture,2009,125,1.6,1.3,-0.6,-26.1,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Irrigated Agriculture,2016,122.7,1.2,0.9,-0.5,-29.3,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Irrigated Agriculture,2021,120.9,1.1,0.9,-0,-3.6,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Irrigated Agriculture,1999,3922.2,82,2.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Irrigated Agriculture,2009,3874.2,71.5,1.8,-10.5,-12.9,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Irrigated Agriculture,2016,3867.1,72.9,1.9,1.4,2,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Irrigated Agriculture,2021,3752.8,210.5,5.6,137.6,188.8,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Irrigated Agriculture,1999,2445.9,369.1,15.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Irrigated Agriculture,2009,2445.9,343.1,14,-25.9,-7,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Irrigated Agriculture,2016,2445.9,322.6,13.2,-20.6,-6,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Irrigated Agriculture,2021,2446,321.9,13.2,-0.7,-0.2,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Irrigated Agriculture,1999,1571.1,357.2,22.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Irrigated Agriculture,2009,1571.1,334,21.3,-23.3,-6.5,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Irrigated Agriculture,2016,1571.1,320.6,20.4,-13.4,-4,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Irrigated Agriculture,2021,1574.7,318.9,20.3,-1.7,-0.5,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Irrigated Agriculture,1999,2559.5,701.3,27.4,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Irrigated Agriculture,2009,2559.5,665.3,26,-35.9,-5.1,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Irrigated Agriculture,2016,2559.5,654,25.6,-11.3,-1.7,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Irrigated Agriculture,2021,2569.8,657.8,25.6,3.8,0.6,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Irrigated Agriculture,1999,2772.1,243.9,8.8,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Irrigated Agriculture,2009,2772.1,249.1,9,5.2,2.1,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Irrigated Agriculture,2016,2772.1,249.2,9,0.1,0.1,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Irrigated Agriculture,2021,2771.6,247.7,8.9,-1.4,-0.6,2021 to 2016
Wet Tropics,Barron,Barron,Irrigated Agriculture,1999,2381.9,149.4,6.3,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Irrigated Agriculture,2009,2368.8,145.3,6.1,-4.1,-2.7,2009 to 1999
Wet Tropics,Barron,Barron,Irrigated Agriculture,2015,2385.5,134,5.6,-11.3,-7.8,2015 to 2009
Wet Tropics,Barron,Barron,Irrigated Agriculture,2021,2193.2,232,10.6,98,73.1,2021 to 2015
Wet Tropics,Daintree,Daintree,Irrigated Agriculture,2009,2120.5,0.1,0,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Irrigated Agriculture,2015,2115.6,0.1,0,0,13.5,2015 to 2009
Wet Tropics,Daintree,Daintree,Irrigated Agriculture,2021,2104.6,2.1,0.1,1.9,1383.8,2021 to 2015
Wet Tropics,Herbert,Herbert,Irrigated Agriculture,1999,10003.4,189.9,1.9,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Irrigated Agriculture,2009,9996.8,168.1,1.7,-21.8,-11.5,2009 to 1999
Wet Tropics,Herbert,Herbert,Irrigated Agriculture,2015,9952.5,174.1,1.7,6,3.6,2015 to 2009
Wet Tropics,Herbert,Herbert,Irrigated Agriculture,2021,9873.2,213,2.2,39,22.4,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Irrigated Agriculture,1999,2460.7,8.8,0.4,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Irrigated Agriculture,2009,2457.4,8.9,0.4,0,0.5,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Irrigated Agriculture,2015,2456.4,8.3,0.3,-0.6,-6.9,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Irrigated Agriculture,2021,2317.8,77.4,3.3,69.1,834.9,2021 to 2015
Wet Tropics,Mossman,Mossman,Irrigated Agriculture,1999,513.5,0.1,0,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Irrigated Agriculture,2009,498,0.1,0,-0,-9.2,2009 to 1999
Wet Tropics,Mossman,Mossman,Irrigated Agriculture,2015,496,0.1,0,-0,-42.8,2015 to 2009
Wet Tropics,Mossman,Mossman,Irrigated Agriculture,2021,465.4,0.7,0.2,0.7,1173.5,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Irrigated Agriculture,1999,1333.4,1.3,0.1,0,0,1999 to 1999
