Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_1017,4,1995-09-30,1995,Sep,1996,497,628,12,48,33,-131,-8,79.1,33.3
Burdekin,Burdekin,n3_rainfall_1018,52,1995-10-31,1995,Oct,1996,497,628,24,90,33,-131,28,79.1,216.7
Burdekin,Burdekin,n3_rainfall_1019,52,1995-11-30,1995,Nov,1996,497,628,52,69,33,-131,0,79.1,100
Burdekin,Burdekin,n3_rainfall_1020,48,1995-12-31,1995,Dec,1996,497,628,83,31,33,-131,-35,79.1,57.8
Burdekin,Burdekin,n3_rainfall_1021,177,1996-01-31,1996,Jan,1996,497,628,138,79,33,-131,39,79.1,128.3
Burdekin,Burdekin,n3_rainfall_1022,19,1996-02-29,1996,Feb,1996,497,628,142,0,33,-131,-123,79.1,13.4
Burdekin,Burdekin,n3_rainfall_1023,21,1996-03-31,1996,Mar,1996,497,628,70,21,33,-131,-49,79.1,30
Burdekin,Burdekin,n3_rainfall_1024,31,1996-04-30,1996,Apr,1996,497,628,29,62,33,-131,2,79.1,106.9
Burdekin,Burdekin,n3_rainfall_1025,13,1996-05-31,1996,May,1996,497,628,22,48,33,-131,-9,79.1,59.1
Burdekin,Burdekin,n3_rainfall_1026,23,1996-06-30,1996,Jun,1996,497,628,23,66,33,-131,0,79.1,100
Burdekin,Burdekin,n3_rainfall_1027,7,1996-07-31,1996,Jul,1997,671,628,18,55,60,43,-11,106.8,38.9
Burdekin,Burdekin,n3_rainfall_1028,9,1996-08-31,1996,Aug,1997,671,628,14,62,60,43,-5,106.8,64.3
Burdekin,Burdekin,n3_rainfall_1029,12,1996-09-30,1996,Sep,1997,671,628,12,66,60,43,0,106.8,100
Burdekin,Burdekin,n3_rainfall_1030,43,1996-10-31,1996,Oct,1997,671,628,24,76,60,43,19,106.8,179.2
Burdekin,Burdekin,n3_rainfall_1031,21,1996-11-30,1996,Nov,1997,671,628,52,31,60,43,-31,106.8,40.4
Burdekin,Burdekin,n3_rainfall_1032,70,1996-12-31,1996,Dec,1997,671,628,83,48,60,43,-13,106.8,84.3
Burdekin,Burdekin,n3_rainfall_1033,88,1997-01-31,1997,Jan,1997,671,628,138,31,60,43,-50,106.8,63.8
Burdekin,Burdekin,n3_rainfall_1034,216,1997-02-28,1997,Feb,1997,671,628,142,86,60,43,74,106.8,152.1
Burdekin,Burdekin,n3_rainfall_1035,135,1997-03-31,1997,Mar,1997,671,628,70,86,60,43,65,106.8,192.9
Burdekin,Burdekin,n3_rainfall_1036,6,1997-04-30,1997,Apr,1997,671,628,29,21,60,43,-23,106.8,20.7
Burdekin,Burdekin,n3_rainfall_1037,51,1997-05-31,1997,May,1997,671,628,22,83,60,43,29,106.8,231.8
Burdekin,Burdekin,n3_rainfall_1038,13,1997-06-30,1997,Jun,1997,671,628,23,55,60,43,-10,106.8,56.5
Burdekin,Burdekin,n3_rainfall_1039,3,1997-07-31,1997,Jul,1998,664,628,18,31,57,36,-15,105.7,16.7
Burdekin,Burdekin,n3_rainfall_1040,14,1997-08-31,1997,Aug,1998,664,628,14,72,57,36,0,105.7,100
Burdekin,Burdekin,n3_rainfall_1041,14,1997-09-30,1997,Sep,1998,664,628,12,72,57,36,2,105.7,116.7
Burdekin,Burdekin,n3_rainfall_1042,8,1997-10-31,1997,Oct,1998,664,628,24,24,57,36,-16,105.7,33.3
Burdekin,Burdekin,n3_rainfall_1043,36,1997-11-30,1997,Nov,1998,664,628,52,59,57,36,-16,105.7,69.2
Burdekin,Burdekin,n3_rainfall_1044,152,1997-12-31,1997,Dec,1998,664,628,83,90,57,36,69,105.7,183.1
Burdekin,Burdekin,n3_rainfall_1045,182,1998-01-31,1998,Jan,1998,664,628,138,83,57,36,44,105.7,131.9
Burdekin,Burdekin,n3_rainfall_1046,70,1998-02-28,1998,Feb,1998,664,628,142,21,57,36,-72,105.7,49.3
Burdekin,Burdekin,n3_rainfall_1047,35,1998-03-31,1998,Mar,1998,664,628,70,41,57,36,-35,105.7,50
Burdekin,Burdekin,n3_rainfall_1048,55,1998-04-30,1998,Apr,1998,664,628,29,86,57,36,26,105.7,189.7
Burdekin,Burdekin,n3_rainfall_1049,65,1998-05-31,1998,May,1998,664,628,22,97,57,36,43,105.7,295.5
Burdekin,Burdekin,n3_rainfall_1050,30,1998-06-30,1998,Jun,1998,664,628,23,76,57,36,7,105.7,130.4
Burdekin,Burdekin,n3_rainfall_1051,9,1998-07-31,1998,Jul,1999,844,628,18,62,77,216,-9,134.4,50
Burdekin,Burdekin,n3_rainfall_1052,112,1998-08-31,1998,Aug,1999,844,628,14,100,77,216,98,134.4,800
Burdekin,Burdekin,n3_rainfall_1053,28,1998-09-30,1998,Sep,1999,844,628,12,90,77,216,16,134.4,233.3
Burdekin,Burdekin,n3_rainfall_1054,88,1998-10-31,1998,Oct,1999,844,628,24,100,77,216,64,134.4,366.7
Burdekin,Burdekin,n3_rainfall_1055,127,1998-11-30,1998,Nov,1999,844,628,52,90,77,216,75,134.4,244.2
Burdekin,Burdekin,n3_rainfall_1056,89,1998-12-31,1998,Dec,1999,844,628,83,66,77,216,6,134.4,107.2
Burdekin,Burdekin,n3_rainfall_1057,131,1999-01-31,1999,Jan,1999,844,628,138,45,77,216,-7,134.4,94.9
Burdekin,Burdekin,n3_rainfall_1058,122,1999-02-28,1999,Feb,1999,844,628,142,52,77,216,-20,134.4,85.9
Burdekin,Burdekin,n3_rainfall_1059,79,1999-03-31,1999,Mar,1999,844,628,70,66,77,216,9,134.4,112.9
Burdekin,Burdekin,n3_rainfall_1060,38,1999-04-30,1999,Apr,1999,844,628,29,72,77,216,9,134.4,131
Burdekin,Burdekin,n3_rainfall_1061,17,1999-05-31,1999,May,1999,844,628,22,55,77,216,-5,134.4,77.3
Burdekin,Burdekin,n3_rainfall_1062,4,1999-06-30,1999,Jun,1999,844,628,23,21,77,216,-19,134.4,17.4
Burdekin,Burdekin,n3_rainfall_1063,11,1999-07-31,1999,Jul,2000,888,628,18,69,87,260,-7,141.4,61.1
Burdekin,Burdekin,n3_rainfall_1064,3,1999-08-31,1999,Aug,2000,888,628,14,41,87,260,-11,141.4,21.4
Burdekin,Burdekin,n3_rainfall_1065,5,1999-09-30,1999,Sep,2000,888,628,12,52,87,260,-7,141.4,41.7
Burdekin,Burdekin,n3_rainfall_1066,12,1999-10-31,1999,Oct,2000,888,628,24,45,87,260,-12,141.4,50
Burdekin,Burdekin,n3_rainfall_1067,152,1999-11-30,1999,Nov,2000,888,628,52,93,87,260,100,141.4,292.3
Burdekin,Burdekin,n3_rainfall_1068,72,1999-12-31,1999,Dec,2000,888,628,83,55,87,260,-11,141.4,86.7
Burdekin,Burdekin,n3_rainfall_1069,72,2000-01-31,2000,Jan,2000,888,628,138,21,87,260,-66,141.4,52.2
Burdekin,Burdekin,n3_rainfall_1070,300,2000-02-29,2000,Feb,2000,888,628,142,93,87,260,158,141.4,211.3
